,sample,no of pimples,mean,varience
0,Sample a before,130,9.795344,31.9848752369
1,Sample b before,60,18.349952,46.5155282201
2,Sample c before,48,12.537552,17.4719967333
3,Sample d before,232,14.759696,42.3517857709
4,Sample e before,88,94.4476,86.6860475408
5,Sample f before,42,17.539184,44.9230615232
6,Sample g before,114,8.239872,7.35456956073
7,Sample h before,87,26.10872,59.5371497131
8,Sample i before,72,6.767264,6.37509230947
9,Sample a after,39,8.976064,3.21565717512
10,Sample b after,22,8.724992,22.6554114198
11,Sample c after,20,12.997936,14.1509704169
12,Sample d after,96,9.023088,3.0204838924
13,Sample e after,38,55.662656,78.5156695127
14,Sample f after,28,10.497456,11.4097786801
15,Sample g after,63,15.998192,38.452943668
16,Sample h after,53,25.13992,56.5166670496
17,Sample i after,52,9.29992,9.17348265347
