,imge name and color,contrast,ASM,energy,homogeneity,dissimilarity,correlation,entropy
0,.\Acnedb/acneA2.jpg blue ,148.96268392,0.00655495934188,0.080962702632,0.477228179167,3.32779119339,0.960514348404,0.420910344157
1,.\Acnedb/acneB2.jpg blue ,210.644628654,0.00379478512332,0.0616018287838,0.571294309022,2.75296388692,0.752772448461,0.31991125797
2,.\Acnedb/acneC2.jpg blue ,30.6485625942,0.0490264967084,0.221419274807,0.576900563868,1.86591165743,0.991618458678,0.29848723944
3,.\Acnedb/acneD2.jpg blue ,107.329094114,0.0019345037872,0.0439829938114,0.23608091036,6.37449002298,0.958614239401,0.63155817837
4,.\Acnedb/acneE2.jpg blue ,385.955279715,0.0168482456356,0.129800796509,0.408017374555,5.74335747661,0.937555749474,0.54006004235
5,.\Acnedb/acneF2.jpg blue ,116.122860749,0.110308103263,0.332126647234,0.643821084204,2.26788757287,0.990442318667,0.344146873006
6,.\Acnedb/acneG2.jpg blue ,146.749946863,0.00120562920347,0.0347221717238,0.247713477729,5.81089163647,0.956421125056,0.661144824868
7,.\Acnedb/acneH2.jpg blue ,72.3484357293,0.00413054414093,0.0642693117261,0.469799987346,2.78862654855,0.983345106291,0.453933411207
8,.\Acnedb/acneI2.jpg blue ,97.3952615802,0.119661442935,0.345921158791,0.596660112857,2.72152612395,0.984487680983,0.378522825167
9,.\Acnedb/acneA2.jpg red ,173.390153448,0.00654558977112,0.0809048190713,0.465129272887,3.4532209039,0.973018750929,0.390114643098
10,.\Acnedb/acneB2.jpg red ,231.378620241,0.00340371113271,0.05834133178,0.56332611545,2.75130926474,0.805361509318,0.314324655767
11,.\Acnedb/acneC2.jpg red ,143.432627359,0.0493196211755,0.222080215812,0.579276787011,2.75538957291,0.988207700722,0.315788046269
12,.\Acnedb/acneD2.jpg red ,127.535487047,0.00182930263691,0.0427703484893,0.232087520527,6.47280324859,0.967332754762,0.546482426425
13,.\Acnedb/acneE2.jpg red ,570.579282003,0.0169616043568,0.13023672998,0.421345473414,6.6414137063,0.942007292879,0.467276967851
14,.\Acnedb/acneF2.jpg red ,143.275502741,0.110429510474,0.332309365273,0.644804838426,2.39714057874,0.991578035731,0.337534743779
15,.\Acnedb/acneG2.jpg red ,209.831794656,0.00146086094901,0.0382212102413,0.258513836472,5.98308440325,0.945533361971,0.57610597283
16,.\Acnedb/acneH2.jpg red ,86.7340581607,0.00511040911078,0.0714871287346,0.489033828873,2.78453015922,0.986372115528,0.432794019213
17,.\Acnedb/acneI2.jpg red ,179.530812383,0.119543403387,0.34575048089,0.580128874413,3.32946187238,0.987998771254,0.398777748187
18,.\Acnedb/acneA2.jpg green ,159.099054593,0.00660077249631,0.0812451392412,0.487073926237,3.31938959298,0.962800373159,0.396086033445
19,.\Acnedb/acneB2.jpg green ,213.880049847,0.00519630266353,0.0720853880048,0.591801380517,2.68326107476,0.716751005978,0.316537689674
20,.\Acnedb/acneC2.jpg green ,77.8345868071,0.0493646301329,0.222181528807,0.58843254626,2.25293173957,0.989253876904,0.311182510678
21,.\Acnedb/acneD2.jpg green ,112.313800703,0.00191592774354,0.0437713116407,0.238432403329,6.37156631426,0.958324513056,0.582825113653
22,.\Acnedb/acneE2.jpg green ,440.529625619,0.0169778726995,0.130299165845,0.424048960323,5.95015265461,0.926203776488,0.504432881473
23,.\Acnedb/acneF2.jpg green ,131.730716609,0.110451027751,0.332341730595,0.646496364386,2.32897994505,0.990782128473,0.333293124671
24,.\Acnedb/acneG2.jpg green ,154.686267876,0.00132575968746,0.0364109836519,0.252557521749,5.82695588826,0.951103656941,0.627306364808
25,.\Acnedb/acneH2.jpg green ,71.5770460369,0.00426849722862,0.0653337389231,0.477365825615,2.76322895488,0.98422706949,0.457261124905
26,.\Acnedb/acneI2.jpg green ,139.005285967,0.119698926806,0.345975339413,0.598574485425,2.98880323385,0.985470848548,0.371032850736
27,.\Acnedb/acneA2.jpg grey ,161.095566265,0.00656818877115,0.0810443629819,0.485163052997,3.32737349398,0.965958531301,0.393213326813
28,.\Acnedb/acneB2.jpg grey ,217.50735743,0.0045721616103,0.0676177610565,0.594568719859,2.65530923695,0.743072705121,0.311587619477
29,.\Acnedb/acneC2.jpg grey ,86.2781526104,0.0493122286415,0.22206356892,0.588791478585,2.3303935743,0.989182121583,0.303421291661
30,.\Acnedb/acneD2.jpg grey ,115.003951807,0.00188239492911,0.0433865754481,0.238695916246,6.36835341365,0.961205689599,0.575618129895
31,.\Acnedb/acneE2.jpg grey ,467.036771084,0.0169545296366,0.130209560466,0.423522356808,6.10681124498,0.932799390415,0.49729270683
32,.\Acnedb/acneF2.jpg grey ,133.060417671,0.110433654683,0.332315595004,0.646551336982,2.33113253012,0.991012405657,0.332950050566
33,.\Acnedb/acneG2.jpg grey ,164.945783133,0.00136473308495,0.036942293986,0.257015237214,5.82144578313,0.950221177478,0.61234769945
34,.\Acnedb/acneH2.jpg grey ,75.5921927711,0.00450087501814,0.0670885610082,0.48953820217,2.73516465863,0.984677141658,0.443388140181
35,.\Acnedb/acneI2.jpg grey ,144.688771084,0.119671133046,0.345935157286,0.595906376579,3.03884337349,0.986302595009,0.376531888418
